914;-2697
914;-406
914;-2698
914;-524
914;-558
914;-101
1296;-74
1296;-542
1296;-27
1296;-592
2445;-74
2445;-3963
2828;-2594
2828;-5686
2828;-676
2443;-1515
2443;-196
2443;-330
5110;-74
5110;-243
5110;-916
2043;-2556
2043;-2110
2043;-743
2808;-74
2808;-199
2808;-264
4339;-1576
4339;-1657
4339;-542
1657;-74
1657;-1151
2038;-74
2038;-411
2038;-1932
2038;-743
2038;-2650
503;-74
503;-1664
503;-1674
503;-1675
503;-399
2801;-74
2801;-3790
2801;-382
2801;-1436
3183;-27
3183;-2405
3183;-74
3183;-916
2032;-74
2032;-5001
2032;-2034
2032;-697
4710;-1855
4710;-2881
4710;-2822
2026;-74
2026;-4987
2026;-199
2026;-143
2026;-382
110;-460
110;-462
110;-463
110;-464
3939;-310
3939;-795
3939;-272
4705;-795
4705;-743
4705;-5334
4705;-622
4705;-542
4320;-5223
4320;-5705
4320;-1117
3936;-4400
3936;-5531
3936;-47
3936;-545
2778;-5419
2778;-5090
2778;-178
2778;-69
4693;-74
4693;-7473
4693;-542
4693;-795
4693;-544
3160;-6714
3160;-60
3160;-68
3923;-1470
3923;-2246
3923;-7942
3923;-850
3923;-7288
1623;-1457
1623;-4229
1623;-3503
1623;-1035
1623;-1386
3538;-74
3538;-3171
3538;-1067
3538;-5548
2771;-6053
2771;-2460
2771;-27
2771;-74
2771;-542
4681;-74
4681;-92
4681;-336
4681;-3820
467;-1584
467;-542
467;-1585
467;-1586
3914;-1136
3914;-1981
3914;-1517
1614;-74
1614;-156
1614;-1216
1614;-4209
461;-74
461;-371
461;-1563
840;-2540
840;-542
840;-1438
4286;-8381
4286;-2758
835;-707
835;-2523
1218;-257
1218;-410
1218;-74
1218;-743
5044;-74
5044;-155
5044;-681
5044;-288
5044;-558
5044;-6896
3125;-120
3125;-350
3125;-2292
3125;-1211
2742;-6205
2742;-1951
2742;-6206
2742;-2000
2742;-558
2742;-6207
5040;-40
5040;-2633
1208;-74
1208;-523
1208;-968
1208;-1494
1208;-143
1207;-678
1207;-3333
1207;-642
1207;-27
1207;-322
1207;-156
3117;-6719
4646;-74
4646;-5712
4646;-1186
4646;-272
3878;-4829
4254;-74
4254;-6086
4254;-1049
4254;-542
4254;-545
3103;-1926
3103;-540
5018;-74
5018;-435
5018;-2149
5018;-4201
5018;-371
5018;-177
2717;-74
2717;-4359
2717;-2215
2717;-3891
2717;-1658
1183;-81
1183;-2639
1183;-101
1183;-3097
1178;-362
1178;-776
1178;-426
1178;-69
2709;-6152
2709;-6153
2709;-5755
1176;-26
1176;-256
1176;-751
1176;-1932
1176;-175
1176;-229
1554;-3844
1554;-4068
1554;-806
20;-94
20;-95
20;-96
20;-97
2318;-74
2318;-744
2318;-371
16;-74
16;-75
16;-76
16;-77
16;-78
16;-79
4995;-362
4995;-1554
2313;-143
2313;-4586
2313;-92
2313;-795
4610;-7466
4610;-1174
4610;-803
1927;-4820
1927;-498
1927;-2787
1927;-27
1927;-4790
4989;-74
4989;-6214
4989;-310
4989;-795
4989;-2204
3455;-5290
3455;-7172
3455;-832
3455;-3614
772;-2386
772;-68
772;-1517
1538;-4029
1538;-4030
1538;-2732
1538;-2375
1538;-2128
3834;-7386
3834;-476
3834;-61
3833;-5334
3833;-542
3833;-69
3833;-4072
3833;-2544
3833;-871
