3276;NO;NO;NO;YES;NO;YES;NO
3377;NO;YES;NO;NO;NO;NO;NO
3441;NO;NO;NO;NO;YES;NO;NO
3455;NO;YES;NO;NO;NO;NO;NO
3538;NO;NO;NO;YES;NO;YES;NO
3670;NO;NO;NO;YES;NO;NO;NO
3680;YES;NO;NO;NO;NO;NO;NO
3833;YES;NO;NO;NO;NO;NO;NO
3834;YES;NO;NO;NO;NO;NO;NO
3878;NO;NO;NO;NO;YES;NO;NO
3914;NO;NO;NO;NO;YES;NO;NO
3923;NO;YES;NO;NO;NO;NO;NO
3936;NO;NO;NO;NO;YES;NO;NO
3939;YES;NO;NO;NO;YES;NO;NO
3988;NO;YES;NO;NO;NO;NO;NO
4020;NO;NO;NO;NO;YES;NO;NO
4085;NO;NO;NO;NO;YES;NO;NO
4092;YES;NO;NO;NO;NO;NO;NO
4130;YES;NO;NO;NO;NO;NO;NO
4151;NO;NO;NO;NO;YES;NO;NO
4158;NO;NO;YES;NO;YES;YES;NO
4161;YES;NO;NO;NO;NO;NO;NO
4254;NO;NO;NO;NO;YES;YES;NO
4286;NO;NO;NO;NO;YES;NO;NO
4292;NO;NO;NO;NO;NO;NO;NO
4320;YES;NO;NO;NO;NO;NO;NO
4339;NO;NO;NO;YES;NO;NO;NO
4376;YES;NO;NO;NO;NO;NO;NO
4387;NO;NO;YES;YES;NO;NO;NO
4429;NO;YES;NO;NO;NO;NO;NO
4456;NO;NO;NO;YES;NO;YES;NO
4458;NO;NO;NO;YES;NO;NO;NO
4610;YES;NO;NO;NO;NO;NO;NO
4646;NO;NO;NO;YES;NO;YES;NO
4681;NO;NO;NO;YES;NO;YES;NO
4693;YES;NO;NO;NO;NO;YES;NO
4705;YES;NO;NO;NO;NO;NO;NO
4710;NO;YES;NO;NO;NO;NO;NO
4863;YES;NO;NO;NO;YES;YES;NO
4872;NO;YES;NO;NO;NO;NO;NO
4889;YES;NO;NO;NO;NO;NO;NO
4934;NO;NO;NO;NO;YES;YES;YES
4936;NO;NO;NO;YES;NO;NO;NO
4955;NO;YES;NO;NO;NO;NO;NO
4989;NO;NO;NO;YES;NO;YES;NO
4995;NO;YES;NO;NO;NO;NO;NO
5018;YES;NO;YES;NO;NO;YES;NO
5040;NO;YES;NO;NO;NO;NO;NO
5044;NO;NO;YES;YES;NO;YES;NO
5110;NO;NO;NO;YES;NO;YES;NO
5138;NO;NO;NO;NO;YES;YES;NO
